Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,Compilation_Source,,UTM_Zone,UTM_Easting,UTM_Northing,Comment,Tectonic_Unit
5063B,1194,14,14,U/Pb,Peak Metamorphic,"6 spots on cores, equant and prismatic crystals, cluster on concordia from 1120 to 1240 Ma. Age is weighted mean 207Pb/206Pb age. (MSWD=0.14). Regressing the analyses yields indistinguishable upper int. age of 1192 ?18 (MSWD=0.18)",Zircon,SHRIMP,Direct,Grenville Province,QC,46.32174,-75.23866,S of Mont Laurier. Coordinates approximated from sketch map in report.,"Central Metasedimentary Belt - Intermediate gneiss, Bondy gneiss complex",Metamorphic,"contain plagioclase, K-feldspar, orthopyroxene, garnet, quartz and biotite with and biotite and orthopyroxene defining the foliation","Wodicka, N., Corriveau, L. and Stern, R.A., 2004. SHRIMP U-Pb zircon geochronology of the Bondy gneiss complex: Evidence for circa 1.39 Ga arc magmatismand polyphase Grenvillian metamrophism in the Central Metasedimentary Belt, Grenville Province, Quebec; Proterozoic Tectonic Evolution of the Grenville Orogen in North America, p. 243-266",GSCdatabase,,,,,,
VK-82-GREN-13ZA,1030,50,20,U/Pb,Peak Metamorphic,"6 fractions (2 abr), discordant, colinear. Age is lower intercept of regression thorugh 5 most colinear points (prob. of fit =80.7%), with error expanded from +14/-15 Ma to account for possible recent Pb-loss.",Zircon,TIMS,Estimate,Grenville Province,ON,45.34672,-78.93813,"Road cut, Hwy 60, near Dwight.","Central Gneiss Belt, Algonquin Domain - Algonquin granulite",Metamorphic,uniform greasy olive-green granulite of possible plutonic origin.,"van Breemen, O., Davidson, A., Loveridge, W.D. and Sullivan, R.W., 1986. U-Pb Zircon Geochronology of Grenville Tectonites, Granulites and Igneous Precursors, Parry Sound, Ontario; The Grenville Province, Geological Association of Canada, Special Paper 31, p. 191-207",GSCdatabase,,,,,,
Emsdale,1048,30,30,U/Pb,Metamorphic,Lower intercept age. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.55005,-79.24982,None,Kiosk domain - Emsdale pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
Rosseau,1016,32,46,U/Pb,Metamorphic,Lower intercept. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.19172,-79.62482,Rosseau,Rosseau domain - Juddhaven pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
Britt-Shawanaga,1088,3,3,U/Pb,Metamorphic,Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.87505,-79.75816,None,Shawanga shear zone - Arnstein pseudoecologite,Metamorphic,Mafic gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
HT-95-77-G,1079,3,3,U/Pb,Metamorphic,"5 fractions (abr), clustered in short range on concordia; zircon is of metamorphic morphology. Age is weighted mean 207Pb/206Pb age of all 5 fractions (MSWD=1.26).",Zircon,TIMS,Direct,Grenville Province,ON,45.17425,-79.0947,"Roadcut along Hwy 117, NE of Baysville",Central Metasedimentary Belt - Muskoka Domain,Metamorphic,Gt-Amphibolite inclusion in migmatitic orthogneisses,"Timmermann, H., Parrish, R.R., Jamieson, R.A. and Culshaw, N.G., 1997. Time of metamorphism beneath the Central Metasedimentary Belt boundary thrust zone, Grenville orogen, Ontario: Accretion at 1080 Ma?; Canadian Journal of Earth Sciences, v. 34, p. 1023-1029",GSCdatabase,,,,,,
Ontario,1133,0,0,U/Pb,Metamorphic,"Min age of metamorphism. Grey-literature, preliminary age. Report unavailable at time of posting to Knowledgebase: information and age quality to be verified by user.",Zircon,TIMS,Unverified,Grenville Province,ON,45.46673,-78.19977,Coordinates approximate.,Central Gneiss Belt - unknown,Metamorphic,granulite facies paragneiss,"Carr, S. and Berman, R., 1996. Metamorphic history of the Central Metasedimentary Belt boundary thrust zone and adjacent footwall rocks in the Algonquin domain (Central Gneiss Belt); Bancroft-Whitney-Barry's Bay area, Ontario Grenville; Abitibi-Grenville Lithoprobe, Atelier 96, p. 8-8",GSCdatabase,,,,,,
87-DC-1,1146,137,128,U/Pb,Metamorphic,"5 fractions (abr), 1 is reversely discordant, others are variably discordant and colinear. Age is lower intercept of regression through the 4 discordant points (prob. of fit = 57%). V. poorly constrained.",Zircon,TIMS,Estimate,Grenville Province,ON,45.88433,-80.76402,"Bigby Island, west of Key Harbour, Georgian Bay",Mesoproteozoic composite Arc allochthon - Key Harbour granite,Plutonic,pink fine- to medium-grained homogenous leucogranite,"Corrigan, D., Culshaw, N.G. and Mortensen, K.J., 1994. Pre-Grenvillian evoultion and Grenvillian overprinting of the Parautochthonous Belt in Key Harbour, Ontario: U-Pb and field constraints; Canadian Journal of Earth Sciences, v. 31, p. 583-596",GSCdatabase,,,,,,
FB 10/1-3,1114,2,2,U/Pb,Metamorphic,"3 fractions (abr), 2 are concordant but widely spaced (>35 Ma apart). Age is 207Pb/206Pb age of small-flat-grain fraction (0.1% disc). Low Th/U ratio and younger age lend support to this fraction as being metamorphic in origin.",Zircon,TIMS,Direct,Grenville Province,ON,45.31041,-79.97675,"On Hwy 69, apprrox. 8 km SE of Parry Sound (locality 1 in paper)",Mesoproterozoic Composite Arc allochthon - cuts early meta. fabric in Parry Sound domain,Plutonic,"diabase dyke, cuts early meta. fabric in Parry Sound domain","Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
FB 17/1-4,1064,2,2,U/Pb,Metamorphic,"4 fractions (abr), 3 fine-equant-grain fractions are concordnat to v.near concordant (0.1 to 0.8% disc), age is mean 207Pb/206Pb age of these 3.",Zircon,TIMS,Direct,Grenville Province,ON,45.01593,-79.6719,"On Muskoka Road 28, approx. 1-2 km W of junction with Hwy 169 (locality 2 in paper)",High Pressure terranes - Moon River domain,Plutonic,metadiabse dike,"Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
FB 8/1-3,1078,2,2,U/Pb,Metamorphic,"3 fractions (abr), concordant to strongly discordant in inheritance pattern. Age is 207Pb/206Pb age of the concordant (inheritance free) fraction which also pins lower intercept of regression for protolith age.",Zircon,TIMS,Direct,Grenville Province,ON,45.67165,-79.65681,"On Hwy 520, S of Hwy 124 and N of town of Magnetawan (locality 5 in paper)",Mesoproterozoic Composite Arc allochthon - Ahmic Domain,Metamorphic,"gneiss, migmatitic host","Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
87DMX-135-D2,1018,45,45,U/Pb,Metamorphic,"4 fractions (st. abr), near-concordant to discordant, colinear. Age is lower intercept of regression through all points (MSWD=0.11).",Zircon,TIMS,Direct,Grenville Province,ON,45.34208,-79.35138,No topographic description given; presumably in vicinity of Mary Lake.,Huntsville thrust zone - Mary Lake granodioritic orthogneiss,Plutonic,"typical of a well-foliated and folded K-feldspar porphyritic-augen body and contains less than 10% biotite with subordinate hornblende and garnet, and accessory apaptite and zircon","Nadeau, L. and van Breemen, O., 1998. Plutonic ages and tectonic setting of the Algonquin and Muskoka allochthons, Central Gneiss Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 35, p. 1423-1438",GSCdatabase,,,,,,
4427D,1184,15,15,U/Pb,Metamorphic,"Zoned grain interiors and mantles (n=12), age is weighted mean 207Pb/206Pb age (MSWD=0.64). Zircons are subhedral to euhedral, stubby to elongate prisms and subequant to rounded crystals",Zircon,SHRIMP,Direct,Grenville Province,QC,46.33473,-75.26665,S of Mont Laurier. Coordinates approximated from sketch map in report.,"Central Metasedimentary Belt - Laminated quartzofeldspathic gneiss, Bondy gneiss complex",Metamorphic,"pink, leucocratic, continuous, cyclic, and asymmetric centrimeter-scale compositional layers, occurs with the northenr part of the Bondy gneiss comples. Biotit-rich layers, which typically recur at the sam ""stratigraphic"" position between felspathic and","Wodicka, N., Corriveau, L. and Stern, R.A., 2004. SHRIMP U-Pb zircon geochronology of the Bondy gneiss complex: Evidence for circa 1.39 Ga arc magmatismand polyphase Grenvillian metamrophism in the Central Metasedimentary Belt, Grenville Province, Quebec; Proterozoic Tectonic Evolution of the Grenville Orogen in North America, p. 243-266",GSCdatabase,,,,,,
5002L,1183,9,9,U/Pb,Metamorphic,"Weighted mean 207Pb/206Pb age (MSW=1.2) of 13 spots on equant to prismatic crystals and mantles (cores excluded). ""Best estimate"", full range of 7/6 ages is 1200 to 1074 Ma. Alternatively, regressing 12 youngest spots yields u.int. 1184 ?9 Ma",Zircon,SHRIMP,Estimate,Grenville Province,QC,46.31405,-75.25681,S of Mont Laurier. Coordinates approximated from sketch map in report.,"Central Metasedimentary Belt - Laminated quartzofeldspathic gneiss, Bondy gneiss complex",Metamorphic,laminated quartzofeldspathic gneiss,"Wodicka, N., Corriveau, L. and Stern, R.A., 2004. SHRIMP U-Pb zircon geochronology of the Bondy gneiss complex: Evidence for circa 1.39 Ga arc magmatismand polyphase Grenvillian metamrophism in the Central Metasedimentary Belt, Grenville Province, Quebec; Proterozoic Tectonic Evolution of the Grenville Orogen in North America, p. 243-266",GSCdatabase,,,,,,
FB 6/1-3,1080,2,2,U/Pb,Metamorphic,"3 fractions, concordant but widely separated ages. This age is mean 207Pb/206Pb age of two concordant fully overlapping fractions.",Zircon,TIMS,Direct,Grenville Province,ON,45.67165,-79.65681,"On Hwy 520, S of Hwy 124 and N of town of Magnetawan (locality 5 in paper)",Mesoproterozoic Composite Arc allochthon - Ahmic Domain,Plutonic,pegmatite infill in boudin,"Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
FB 18/1-3,1051,2,2,U/Pb,Metamorphic,"3 fractions (abr), concordant to near-concordant (0.2 to 0.9%), overlapping. Age is mean 207Pb/206Pb age of all 3 fractions.",Zircon,TIMS,Direct,Grenville Province,ON,44.98088,-79.46413,"On Hwy 169, approx. 12 km W of junction with Hwy 11 (locality 3 in paper)",High Pressure terranes - Moon River domain,Plutonic,diabase dyke,"Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
FB 12/1-3,1047,2,2,U/Pb,Metamorphic,"3 fractions (abr), concordant to v.near-concordant (0.1 to 0.3%), overlapping. Age is mean 207Pb/206Pb age of all 3 fractions.",Zircon,TIMS,Direct,Grenville Province,ON,44.99832,-79.73428,"On Muskoka Road 28, approx. 2 km E of junction with Hwy 69 (locality 4 in paper)",High Pressure terranes - Go Home domain,Plutonic,folded metadiabase dyke,"Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
FB 13/1-3,1047,2,2,U/Pb,Metamorphic,"3 fractions (abr), this age is 207Pb/206Pb age of concordant (0.2% disc) fraction consisting of a single zircon overgrowth fragment.",Zircon,TIMS,Direct,Grenville Province,ON,44.99832,-79.73428,"On Muskoka Road 28, approx. 2 km E of junction with Hwy 69 (locality 4 in paper)",High Pressure terranes - Go Home domain,Plutonic,"pegmatite, post-folding","Bussy, F., Krogh, T.E., Klemens, W.P. and Schwerdtner, W.M., 1995. Tectonic and metamorphic events in the westernmost Grenville Province, central Ontario: new results from high-precision U-Pb zircon geochronology; Canadian Journal of Earth Sciences, v. 32, p. 660-671",GSCdatabase,,,,,,
Go Home p-eclogite,1089,2,2,U/Pb,Metamorphic,Lower intercept. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,44.81255,-79.78316,None,Go Home domain - Go Home pseudoeclogite,Metamorphic,gneiss,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
85DM115-1,1043,22,23,U/Pb,Metamorphic,"4 fractions, discordant, colinear. Age is lower intercept of regression through all points (MSWD=2.03). Most likely represents metamorphic event, though it is possible this reflects composite of more than one event.",Zircon,TIMS,Direct,Grenville Province,ON,45.50006,-78.31366,Approx. 45 km NNE of Haliburton. Coordinates interpolated from regional scale sketch map in report (approximate),Central Gneiss Belt - Algonquin domain,Metamorphic,"granulite facies orthogneiss (metamonzonite), uniform, olive-buff, very fine and even grained, free from bands or lenses of darker material.","van Breemen, O. and Davidson, A., 1990. U-Pb zircon and baddleyite ages from the Central Gneiss Belt, Ontario; Radiogenic Age and Isotopic Studies: Report 3; Geological Survey of Canada Paper 89-2, p. 85-92",GSCdatabase,,,,,,
C-94-14,1168,2,2,U/Pb,Metamorphic,"3 fractions, consisting of euhedral tips broken off of cores. 2 are concordnat and fully overlapping, 3rd is slightly discordant, but overlaps other 2. Age is mean 207Pb/206Pb age. Dates growth of tips during migmatization.",Zircon,TIMS,Direct,Grenville Province,ON,45.18539,-76.25423,Approx. 3 km SW of Almonte.,Frontenac terrane - Wolf Grove structure,Metamorphic,medium- to coarse-grained migmatitic gneiss layer of overall granodioritic composition,"Corfu, F. and Easton, R.M., 1997. Sharbot Lake terrane and its relationships to Frontenac terrane, Central Metasedimentary Belt, Grenville Orogen: new insights from U-Pb geochronology; Canadian Journal of Earth Sciences, v. 34, p. 1239-1257",GSCdatabase,,,,,,
C-94-13,1168,3,2,U/Pb,Metamorphic,"7 fractions on rims, tips and core-less grains, variably discordant and scattered. Age is upper intercept of line projected through 2 youngest fractions (207Pb/206Pb ages of 1171 and 1166 Ma). Error assigned to capture the 7/6 ages.",Zircon,TIMS,Estimate,Grenville Province,ON,45.19898,-76.23454,Approx. 3 km SW of Almonte.,Frontenac terrane - Wolf Grove structure,Plutonic,medium-grained strongly foliated locally sheared biotite granite,"Corfu, F. and Easton, R.M., 1997. Sharbot Lake terrane and its relationships to Frontenac terrane, Central Metasedimentary Belt, Grenville Orogen: new insights from U-Pb geochronology; Canadian Journal of Earth Sciences, v. 34, p. 1239-1257",GSCdatabase,,,,,,
C-94-20,1169,3,3,U/Pb,Metamorphic,"3 fractions (abr), discordant, scattered. Age is 207Pb/206Pb age of discordant fraction (1.7%) which represents tips broken off apparent cores. The variable discordancy in other 2 fractions is attributed to the cores as pre-metam. detrital grains.",Zircon,TIMS,Direct,Grenville Province,ON,45.10153,-76.23331,Approx. 6 km NW of Carleton Place.,Frontenac terrane - Unit Cm,Metamorphic,matrix from clast-poor marble tectonic breccia,"Corfu, F. and Easton, R.M., 1997. Sharbot Lake terrane and its relationships to Frontenac terrane, Central Metasedimentary Belt, Grenville Orogen: new insights from U-Pb geochronology; Canadian Journal of Earth Sciences, v. 34, p. 1239-1257",GSCdatabase,,,,,,
91-23,980,7,7,U/Pb,Metamorphic,"4 zirc (abr) + 1 titanite, discordant, colinear. Age is lower intercept of regression through all points, prob. off it = 43.6%.",Zircon,TIMS,Direct,Grenville Province,ON,46.40421,-80.24567,"Near center of batholith, approx. 8 km SE of Warren. Coordinates interpolated from sketch map in report.","Central Gneiss Belt, Nepewassi domain - Warren Batholith",Plutonic,trondjemite gneiss,"Chen, Y.D., Krogh, T.E. and Lumbers, S.B., 1995. Neoarchean trondhjemitic and tonalitic orthogenessis identified within the northern Grenville Province in Ontario by precise U-Pb dating and petrologic studies; Precambrian Research, v. 72, p. 263-281",GSCdatabase,,,,,,
HVA-RH-90,1154,7,7,U/Pb,Metamorphic,"6 fractions total, 2 consist of metamorphic overgrowths after baddeleyite (no badd remains). ""raspberry zircons"". Age is 207Pb/206Pb age of near concordant (1.5%) fraction I.",Zircon,TIMS,Direct,Grenville Province,ON,45.22752,-77.48264,"North of Wingle Hill, Raglan Hills, E of Bancroft","Bancroft terrane, CMB/CGB suture zone hangingwall - Raglan Hills Gabbro",Plutonic,coarse ophitic metagabbro,"Pehrsson, S., Hanmer, S. and van Breemen, O., 1996. U-Pb geochronology of the Raglan gabbro belt, Central Metasedimentary Belt, Ontario: implications for an ensialic marginal basin in the Grenville Orogen; Canadian Journal of Earth Sciences, v. 33, p. 691-702",GSCdatabase,,,,,,
HVA-RH-90,1046,20,20,U/Pb,Metamorphic,"6 fractions total, 2 consist of metamorphic overgrowths after baddeleyite (no badd remains). ""raspberry zircons"". Age is 207Pb/206Pb age of discordant (4%) fraction G.",Zircon,TIMS,Estimate,Grenville Province,ON,45.22752,-77.48264,"North of Wingle Hill, Raglan Hills, E of Bancroft","Bancroft terrane, CMB/CGB suture zone hangingwall - Raglan Hills Gabbro",Plutonic,coarse ophitic metagabbro,"Pehrsson, S., Hanmer, S. and van Breemen, O., 1996. U-Pb geochronology of the Raglan gabbro belt, Central Metasedimentary Belt, Ontario: implications for an ensialic marginal basin in the Grenville Orogen; Canadian Journal of Earth Sciences, v. 33, p. 691-702",GSCdatabase,,,,,,
C-93-12,1094,9,9,U/Pb,Metamorphic,"Single grain fraction with metamorphic morphology, suggested to derive from one of the scarse felsic veinlets in the marble. Near concordant (ellipse overlaps concordia), age is 207Pb/206Pb age.",Zircon,TIMS,Direct,Grenville Province,ON,45.0993,-76.85296,Mair Lake,Mazinaw terrane - unknown,Sedimentary,calc-silicate,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-967",GSCdatabase,,,,,,
C-93-16,1036,9,5,U/Pb,Metamorphic,"4 fractions, near-concordant to discordant, 3 are colinear. The colinear grains are those with metamorphic characteristics; age is upper intercept through those 3. MSWD not reported; data visually tight on plot. L.int. at ca. 500 Ma.",Zircon,TIMS,Direct,Grenville Province,ON,45.16903,-76.70082,Flower Round Lake,Mazinaw terrane - unknown,Volcanic,felsic volcanic,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-967",GSCdatabase,,,,,,
C-93-15,1036,9,5,U/Pb,Metamorphic,"5 fractions, cluster just below concordia. Age is range of 207Pb/206Pb ages of the oldest fraction, slightly discordant, representing early growth and cores, 1st phase of metamorphism",Zircon,TIMS,Estimate,Grenville Province,ON,45.21807,-76.69412,Mile Lake,Mazinaw terrane - unknown,Metamorphic,garnet amphibolite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-967",GSCdatabase,,,,,,
C-96-4,1471,10,10,U/Pb,Metamorphic,"14 fractions analyzed of 2 morphologies, this age is for metamorphic zircon. 7 fractions, scattered (inheritance and Pb-loss), 5 colinear (prob. of fit = 97%), incl. 2 concordant pinning l. int. at 1052 event; age is upper intercept.",Zircon,TIMS,Direct,Grenville Province,ON,46.53523,-80.67431,"Southernmost and westerly Street Township, vicinity of Wanapitei Fault",Grenville Front tectonic zone - ?East Bull Lake intrusive suite,Metamorphic,orthopyroxene hornblendite,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172, p. 149-171",GSCdatabase,,,,,,
C-96-5,1720,0,0,U/Pb,Metamorphic,"This age is for fraction consisting of metamorphic tips broken from detrital grains, age is u.int of line projected from the metamorphic ages (monazite) same sample through this fraction. V.coarse estimate but indicates earlier phase of mm.",Zircon,TIMS,Estimate,Grenville Province,ON,46.60991,-80.58343,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile staurolite muscovite) kyanite garnet biotite plagioclase quartz gneiss,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172, p. 149-171",GSCdatabase,,,,,,
C-96-5,992,8,8,U/Pb,Metamorphic,This age is 207Pb/206Pb age of near-concordant fraction consisting of metamorphic tips broken from detrital zircon.,Zircon,TIMS,Direct,Grenville Province,ON,46.60991,-80.58343,"Street Township, near Grenville Fault",Grenville Front tectonic zone - unknown,Metamorphic,(rutile staurolite muscovite) kyanite garnet biotite plagioclase quartz gneiss,"Corfu, F. and Easton, R.M., 2000. U-Pb evidence for polymetamorphic history of Huronian rocks in the Grenville Front Tectonic Zone east of Sudbury, Ontario; Chemical Geology, v. 172, p. 149-171",GSCdatabase,,,,,,
LH91-6,1050,0,0,U/Pb,Metamorphic,"Single crystal of polycrystallne aggregate ""zircon after baddeleyite"", no badd remains, somewhat discordant (0.9%), ellipse overlaps concordia. Age is 207Pb/206Pb age. Error not reported, but ellipse is on large side (5 Ma?)",Zircon,TIMS,Estimate,Grenville Province,ON,45.52505,-80.24984,Coordinates approximate.,Central Gneiss Belt - coronitic metagabbro,Plutonic,coronitic metagabbro,"Heaman, L.M. and Lecheminant, A.N., 1993. Paragenesis and U-Pb systematics of baddeleyite (ZrO2); Chemical Geology, v. 110, p. 95-126",GSCdatabase,,,,,,
Frederic Inlet,1001,4,4,U/Pb,Metamorphic,Lower intercept. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
Frederic Inlet,1095,0,0,U/Pb,Metamorphic,Hooper Island sample. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
Frederic Inlet,1091,11,11,U/Pb,Metamorphic,King Bay sample. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.,Zircon,TIMS,Unverified,Grenville Province,ON,45.49172,-80.44152,Twin Doves Isl. Coordinates approximate.,Shawanga shear zone - Frederic Inlet pseudoecologite,Metamorphic,pseudoeclogite,"Ketchum, J.W.F. and Krogh, T.E., 1997. U-Pb constraints on high-pressure metamorphism in the Central Gneiss Belt, southwestern Grenville Orogen; Program with Abstracts - Geological Association of Canada; Mineralogical Association of Canada, Vol. 22, p. 78-78",GSCdatabase,,,,,,
Beaverstone Bay,1700,0,0,U/Pb,Metamorphic,"Needle-like zircons, meta age? or detrital? Grey-literature: information and age quality to be verified by user",Zircon,TIMS,Unverified,Grenville Province,ON,45.98337,-81.16654,Location approximate.,Grenville Front tectonic zone - Beaverstone Bay quartzite,Metamorphic,quartzite /quartz arenite,"Krogh, T.E., 1989. Provenance and metamorphic ages in the Grenville, Northwest Teritories; Lithoprobe Abitibi-Grenville Project Workshop, March 1989, p. 5-7",GSCdatabase,,,,,,
SM98-129,1073,74,86,U/Pb,Metamorphic,"Lower intercept age. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and age quality to be verified by user.",Zircon,TIMS,Unverified,Grenville Province,ON,45.50673,-77.73086,"Stop 1-1(Easton&Davidson,1994)",Central Gneiss Belt - Carson Lake granulite,Metamorphic,Granulite,"McMullen, S.M., 1999. Tectonic evolution of the Bark Lake area, eastern Central Gneiss Belt, Ontario Grenville: constraints from geology, geochemistry and U-Pb geochronology; unpublished M.Sc. thesis, Carleton University, Ottawa, Ontario, p. 171",GSCdatabase,,,,,,
SM98-23T,1046,34,39,U/Pb,Metamorphic,"Lower intercept age. Unpublished thesis age, report not available at time of posting to Knowledgebase. Information and age quality to be verified by user.",Zircon,TIMS,Unverified,Grenville Province,ON,45.47784,-77.78892,None,Central Gneiss Belt - Littlebatrk tectonite,Metamorphic,migmatitic orthogneiss,"McMullen, S.M., 1999. Tectonic evolution of the Bark Lake area, eastern Central Gneiss Belt, Ontario Grenville: constraints from geology, geochemistry and U-Pb geochronology; unpublished M.Sc. thesis, Carleton University, Ottawa, Ontario, p. 171",GSCdatabase,,,,,,
1c MLt,1118,6,6,U/Pb,Metamorphic,"5 fractions (str. abr)., slightly discordant, fully overlapping. Age is mean 206Pb/238U age, providing the younger of two possible interps as preferred by authors (excess-207Pb cited). Alt. interp uses 207Pb/206Pb ages for ca. 1135 Ma age.",Zircon,TIMS,Minimum Direct,Grenville Province,QC,46.05561,-74.92186,From eastern part of terrane. Coordinates interpolated from regional-scale sketch map in report.,Mont-Laurier terrane - unknown,Metamorphic,coarse-grained pyroxene-garnet amphibolite,"Friedman, R.M. and Martignole, J., 1995. Mesoproterozoic sedimentation, magmatism, and metamorphism in the southern part of the Grenville Province (Western Quebec): U-Pb geochronological constraints; Canadian Journal of Earth Sciences, v. 32, p. 2103-2114",GSCdatabase,,,,,,
2f Msz,1020,0,0,U/Pb,Metamorphic,"Discordant, lower intercept age. Preliminary age reported at conference; no analytical details provided. Age information and quality to be verified by user.",Zircon,TIMS,Unverified,Grenville Province,QC,46.06671,-73.8996,Coordinates approximate,Morin terrane - Morin shear zone,Metamorphic,Mylonite,"Friedman, R.M. and Martignole, J., 1993. Age constraints on Mesoproterozoic sedimentation, igneous activity and metamorphism along the western Quebec Grenville Transect; Lithoprobe Report, vol.33, p. 151-153",GSCdatabase,,,,,,
